번호,종목코드,종목명,시장구분,최초지정일
67,141020,디에스앤엘,KOSDAQ,2020/03/18
66,103230,에스앤더블류,KOSDAQ,2020/03/19
65,058420,제이웨이,KOSDAQ,2020/03/20
62,263540,어스앤에어로스페이스,KOSDAQ,2020/03/23
63,160600,이큐셀,KOSDAQ,2020/03/23
64,114120,크루셜텍,KOSDAQ,2020/03/23
61,050540,엠피씨플러스,KOSDAQ,2020/03/24
60,058220,아리온,KOSDAQ,2020/03/27
59,009730,코센,KOSDAQ,2020/03/31
58,121890,에스디시스템,KOSDAQ,2020/04/03
57,180400,디엑스앤브이엑스,KOSDAQ,2020/05/22
56,223310,커머스마이너,KOSDAQ,2020/06/08
55,138360,협진,KOSDAQ,2020/06/22
51,038340,UCI,KOSDAQ,2020/08/18
52,003620,쌍용차,KOSPI,2020/08/18
53,069110,코스온,KOSDAQ,2020/08/18
54,058530,파나케이아,KOSDAQ,2020/08/18
50,208860,엔지스테크널러지,KOSDAQ,2020/09/01
49,257370,명성티엔에스,KOSDAQ,2021/01/28
48,056000,코원플레이,KOSDAQ,2021/02/18
47,102940,코오롱생명과학,KOSDAQ,2021/03/18
45,175140,인포마크,KOSDAQ,2021/03/23
46,033340,좋은사람들,KOSDAQ,2021/03/23
44,299910,베스파,KOSDAQ,2021/03/24
43,099520,ITX-AI,KOSDAQ,2021/03/26
42,006580,대양제지,KOSDAQ,2021/03/29
